ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,36.375446989734954,27.686222975972484,-8.68922401376247,8.68922401376247,75.50261396134637
1,0,0,26.122248208497073,23.560930648170718,-2.561317560326355,2.561317560326355,6.560347644836151
2,1,0,12.884023973770475,7.255143248579542,-5.628880725190933,5.628880725190933,31.684298218426
3,1,0,31.81871885163983,31.080931146266217,-0.7377877053736128,0.7377877053736128,0.5443306982004609
4,0,0,28.7015979264989,24.70050461844796,-4.001093308050937,4.001093308050937,16.008747659729988
5,0,0,19.7334992186508,17.259921959458506,-2.473577259192293,2.473577259192293,6.118584457193257
6,0,0,20.36431371330223,17.70073995896285,-2.6635737543393816,2.6635737543393816,7.094625144805589
7,0,0,29.585563246321364,27.765020624771807,-1.8205426215495564,1.8205426215495564,3.314375436878531
8,1,0,18.83970905773671,12.720420304918672,-6.119288752818036,6.119288752818036,37.44569484036532
9,1,0,28.748544012007788,27.097260399472155,-1.6512836125356323,1.6512836125356323,2.726737569028728
10,1,0,21.83916752653311,19.951327239761717,-1.887840286771393,1.887840286771393,3.5639409483570956
11,1,0,23.26193317938957,20.770840720482894,-2.4910924589066745,2.4910924589066745,6.2055416388217015
12,1,0,16.639221053137486,12.255716361775267,-4.383504691362219,4.383504691362219,19.215113379194587
13,0,0,22.045769652116277,17.257823467155774,-4.787946184960504,4.787946184960504,22.92442867007784
14,0,0,15.72461374552806,13.020956155659714,-2.703657589868346,2.703657589868346,7.309764363252713
15,1,0,22.25750166174443,16.946899160208186,-5.310602501536245,5.310602501536245,28.20249892932302
16,0,0,9.639701823580424,9.51581963067161,-0.1238821929088143,0.1238821929088143,0.015346797719896681
17,0,0,24.26473777791346,20.738267342432444,-3.5264704354810164,3.5264704354810164,12.43599373232167
18,0,0,19.93637576574009,19.072133458540318,-0.864242307199774,0.864242307199774,0.7469147655539886
19,1,0,10.694111118237323,9.175592066871394,-1.5185190513659297,1.5185190513659297,2.305900109361283
